광역지자체,기초지자체,설치장소,설치주소,설치개수,비고
인천,서구,청라3동 행정복지센터,"인천광역시 서구 푸른로8번길 5, (청라동, 청라3동행정복지센터)",1,실내설치
인천,서구,가정1동 행정복지센터,"인천광역시 서구 염곡로464번길 11 2층, (가정동, 가정1동행정복지센터)",1,실내설치
인천,서구,가정2동 행정복지센터,"인천광역시 서구 봉오대로253번길 17, (가정동, 가정2동행정복지센터)",1,실내설치
인천,서구,가정3동 행정복지센터,"인천광역시 서구 서달로179번길 12-16, (가정동, 가정3동 행정복지센터)",1,실내설치
인천,서구,신현원창동 행정복지센터,"인천광역시 서구 가정로335번길 3, (신현동, 신현원창동 행정복지센터)",1,실내설치
인천,서구,석남1동 행정복지센터,"인천광역시 서구 가정로294번길 17, (석남동, 석남1동 행정복지센터)",1,실내설치
인천,서구,석남2동 행정복지센터,"인천광역시 서구 거북로 116번길, (석남동, 석남2동 행정복지센터)",1,실내설치
인천,서구,석남3동 행정복지센터,"인천광역시 서구 서달로 107, (석남동, 석남3동행정복지센터)",1,실내설치
인천,서구,가좌1동 행정복지센터,"인천광역시 서구 가정로112번길 10, (가좌동, 가좌1동 행정복지센터)",1,실내설치
인천,서구,가좌2동 행정복지센터,"인천광역시 서구 장고개로 309번길 4, (가좌동, 가좌2동 행정복지센터)",1,실내설치
인천,서구,가좌3동 행정복지센터,"인천광역시 서구 원적로57번길 4, (가좌동, 가좌3동행정복지센터)",1,실내설치
인천,서구,가좌4동 행정복지센터,"인천광역시 서구 장고개로280번길 14, (가좌동, 가좌4동 행정복지센터)",1,실내설치
인천,서구,검단동 행정복지센터,"인천광역시 서구 검단로529번길 14, (마전동, 검단동 행정복지센터)",1,실내설치
인천,서구,불로대곡동 행정복지센터,"인천광역시 서구 검단로 814, (불로동, 불로대곡동 행정복지센터)",1,실내설치
인천,서구,원당동 행정복지센터,"인천광역시 서구 고산로 24, (원당동, 원당동 행정복지센터)",1,실내설치
인천,서구,당하동 행정복지센터,"인천광역시 서구 청마로 167번길 19, (당하동, 당하동 행정복지센터)",1,실내설치
인천,서구,오류왕길동 행정복지센터,"인천광역시 서구 봉화로 42, (오류동, 오류왕길동 행정복지센터)",1,실내설치
인천,서구,마전동 행정복지센터,"인천광역시 서구 완정로10번길 14, (마전동, 마전동 행정복지센터)",1,실내설치
경남,창원시,중앙동 행정복지센터,창원시 성산구 외동반림로 5,1,
경남,창원시,태평동 행정복지센터,창원시 진해구 태평로 26,1,
경남,창원시,충무동 행정복지센터,창원시 진해구 중원로74번길 6,1,
경남,창원시,여좌동 행정복지센터,창원시 여명로 77,1,
경남,창원시,태백동 행정복지센터,창원시 진해구 중초로9번길 38,1,
